	utterance	topics
12295	That's not really my thing, but thanks for the suggestion.	(book recommendation,yes)|(Homo Deus,no)
10502	Yeah, I like Italian food.	(food,yes)
4098	No, I haven't. But I've heard it's a really interesting country. Maybe we can plan a trip together someday.	(travel,yes)
11510	Not really.	(book,no)
2020	Yeah, I just finished watching Breaking Bad.	(TV shows,yes)|(Breaking Bad,yes)
7023	Not really. I just stayed at home and relaxed.	(weekend,no)
12140	"Yeah, I just finished playing a really cool game called ""Outer Wilds"". Have you heard of it?"	(video games,yes)|(Outer Wilds,yes)
11819	Not really.	(music,no)|(jazz music,no)
4205	No, I haven't. What kind of food do they serve?	(restaurant,yes)|(food type,yes)
8625	Not really. I am more into sports.	(TV show,no)|(TV show genre,no)|(sports,no)
1292	Not really. I am not a fan of traveling.	(travel,no)
1044	I've actually done quite a bit of traveling already. To be honest, I'm not really interested in traveling right now.	(travel,no)
9766	Sure, what do you feel like eating?	(food,yes)
7170	Actually, I'm not really into fiction.	(books,yes)|(book genre,no)
8500	No, I haven't heard of them. Honestly, I'm not much of an indie music person.	(music,yes)|(music genre,no)|(indie music,no)
4357	Yeah, she's great.	(music,yes)|(singer,yes)|(Beyonce,yes)
11668	Yeah, water can be intimidating sometimes. What kind of hobbies do you have?	(interests,yes)
4601	His recent shows were not as good as his previous ones, I felt.	(comedy,yes)|(Dave Chapelle's recent shows,no)
5197	Yeah, I really like The Godfather.	(movie,yes)|(The Godfather,yes)
12066	That's too bad. Well, what type of movies do you like?	(movie,yes)
2566	Yeah, I have. But it's been a while since I went to one.	(music,yes)
8240	Yeah, same here.	(small talk,yes)
5217	Actually, I don't really like sushi.	(food,no)|(sushi,no)
7036	Yeah, you should go sometime. Do you like swimming?	(beach,yes)|(swimming,yes)
527	Yeah, it sounds wonderful. I'd love to see the Eiffel Tower.	(travel,yes)|(city,yes)|(Paris,yes)
9604	Hmm. That's cool.	(movies,yes)|(movie character,yes)|(Captain America,unknown)
11453	No, I haven't had the chance to watch it yet. What's it about?	(tv,yes)|(web series,yes)
10455	Not really, I'm not much of a reader.	(book,no)
8750	Honestly, I haven't been keeping up with it too much.	(technology,yes)|(AI,no)
9169	Honestly, I'm not a big sports fan. I find it kind of boring.	(sports,no)
4980	Just work stuff.	(work,no)
12229	It's just been busy with lots of deadlines. It's always like this at my job.	(work,no)
4827	Not really, I think I'll just stay home and relax.	(weekend,yes)|(relaxing at home,yes)
4029	Not really. Honestly, I don't watch a lot of movies.	(movie,no)
10535	Actually, yes! I read this really great mystery novel.	(books,yes)|(mystery,yes)
8647	Definitely LeBron James.	(sports,yes)|(favorite player,yes)
12240	Yeah, that makes sense. Hey, did you hear that new album by Tyler, the Creator? I've been really into it.	(music,yes)|(singer,yes)|(Tyler, the Creator,yes)
2292	No way. I'm actually pretty scared of heights.	(extreme sports,no)
3320	No, I haven't had time to read much lately.	(books,no)
7973	Well, I like reading. I read a lot of books.	(reading,yes)
11160	We went to the Appalachian Trail. There were some really beautiful views.	(outdoors,yes)|(hiking trail,yes)|(Appalachian Trail,yes)
9135	Not really. I find it hard to sit still and concentrate for long periods of time.	(book,no)
5891	No, not really. I don't watch a lot of TV.	(movie,no)
1542	It was okay. The sushi was decent, but nothing to write home about.	(food,yes)|(food quality,yes)|(sushi,yes)
4624	To be honest, I don't listen to music that often.	(music,no)
37	I'm more of a cat person, how about you?	(pet,yes)|(preference,yes)|(cat,yes)
2445	I'm open to anything really, but I mostly listen to indie rock.	(music,yes)|(genre,yes)|(indie rock,yes)
8381	Not really. I'm an accountant and I really enjoy working with numbers.	(job,yes)|(job title,no)
2459	Not really, I've been trying to save money so I haven't been eating out much.	(food,no)
4889	No way, really? I hadn't heard that.	(TV shows,yes)|(TV show news,yes)
10506	It's not really my thing.	(music,no)
3528	Not really, I've been trying to avoid all the negativity.	(news,no)
5137	Hmm, I'm not really a big fan of pizza.	(food,no)|(pizza,no)
2105	Exactly. And with social media, it's hard to escape it all.	(social media,no)
7047	No, not really. I'm not much of a movie person.	(movie,no)
6449	Yes, I recently saw 'The Godfather' for the first time, and it was amazing!	(movies,yes)|(The Godfather,yes)
7006	Actually, yes! I really enjoyed the new crime thriller that came out last month. Have you seen it?	(movie,yes)|(movie genre,yes)|(crime thriller,yes)
5228	Nope, I haven't been there.	(food,unknown)|(Italian restaurant,no)
12763	Not really. I'm not much of a sports person.	(sports,no)
10146	I really enjoy watching gymnastics.	(sports,yes)|(gymnastics,yes)
1903	It was alright. I didn't really do much.	(weekend,no)
3393	"I've been watching this new show called ""Squid Game."" It's pretty intense."	(TV show,yes)|(Squid Game,yes)
6563	Just work, mostly. Same old, same old.	(work,no)
10669	I don't know yet. Our boss said it's still under evaluation. Hopefully, it won't be too difficult to learn. Anyway, I have to go now.	(exit,no)
13189	Not really, sorry.	(music,no)|(favorite artist,no)
7816	No, not really interested in restaurants right now.	(food,no)|(restaurant,no)
11858	Not really, I'm pretty set on my favorites at this point.	(music,no)
6677	No, I haven't.	(car,yes)|(electric car,unknown)
533	It was fine, didn't do anything special.	(weekend,no)
9559	Yeah, I've seen a few of them. But I don't really care for them that much.	(movies,yes)|(movie titles,unknown)|(James Bond,no)
10977	Yeah, nice chatting with you too. Have a good day.	(small talk,yes)
785	I mean, it's okay I guess. But I don't really have the money to do it right now.	(travel,no)
10199	Honestly, I don't read too much anymore.	(books,no)
9599	I like playing FIFA, but I also enjoy playing Call of Duty.	(entertainment,yes)|(video games,yes)|(FIFA,yes)
3057	That's cool. So, what are you up to later?	(activity,yes)|(plan,unknown)
4923	Yeah, I do! I usually read fiction.	(book,yes)|(fiction,yes)
4569	Yes! I've tried it a few times. I don't mind it, but it's not really my cup of tea.	(food and beverage,yes)|(caffeine,yes)|(matcha,no)
10940	No, I haven't. I'm not really into trying new restaurants.	(food,no)
9727	No, I don't.	(pets,no)
7754	Not really. I don't read that often.	(books,no)
11084	Yeah, I like to write short stories in my free time.	(hobbies,yes)|(creative writing,yes)
2100	Not really. I prefer reading instead.	(sports,no)|(hobby,yes)|(reading,yes)
8415	I haven't had much time for movies, to be honest.	(movies,no)
2016	Not really, no.	(sports,no)
6398	I'm just kind of burnt out, I guess. Plus, it seems like every movie is either a superhero flick or a remake these days.	(movie,no)|(superhero movies,no)
4714	Not really, I find them too predictable.	(book,no)|(fantasy book,no)
1151	Yes, I really enjoy them.	(music,yes)|(classical music,yes)|(orchestral performances,yes)
8369	Never heard of it. But I'll take your word for it.	(food,yes)|(biryani,unknown)
8222	I really like making homemade pizza, actually. There's something so satisfying about it.	(food,yes)|(cooking,yes)|(pizza,yes)
10263	Ugh, that's so annoying.	(travel,no)
6897	(yawning) Sorry, I'm not really in the mood for talking about comedy right now. I think I need to go to bed.	(comedy,no)
6227	Oh, I don't really like Thai food.	(food,no)|(cuisine,no)|(Thai food,no)
3064	Not really. I mean, I can make simple things, but I'm not passionate about it.	(food,yes)|(cooking,no)
12374	I don't really like coffee at all, I prefer tea.	(drink,no)
12215	Yeah, I took some aspirin, but it doesn't seem to be helping much.	(health,no)|(medicine,no)
2721	Yeah, I like basketball.	(sports,yes)
10425	I usually just lie in bed and watch boring TV shows.	(TV show,no)
7848	Yeah, but most of the time you could tell what was going to happen next.	(TV show,yes)|(episode,no)
882	Not really, I find it boring to watch sports.	(sports,no)
5064	Wow, that's a lot of TV.	(TV show,yes)
10428	No, not really.	(sports,no)|(soccer,no)
8828	Yeah, it was nice talking to you too. Take care.	(farewell,yes)
6871	No, I haven't had the time to read.	(entertainment,no)
917	Just a B-list actor, nothing special.	(celebrity,no)|(B-list actor,unknown)
2639	Not really. I just watch Netflix when I have free time.	(hobbies,no)|(Netflix,no)
3366	I'm into action and adventure movies. How about you?	(movies,yes)|(movie genre,yes)
5678	Well, I enjoy playing video games and watching TV.	(activities,yes)|(video games,yes)
11409	Honestly, I like to just hang out and watch movies or play video games. Simple stuff, you know.	(hobbies,yes)|(video games,yes)
7534	Mostly just watch TV or play video games, to be honest.	(hobbies,yes)
11388	Not really. I just watch whatever's on.	(TV shows,no)
10089	No, I haven't really been watching TV lately either.	(TV shows,no)
10827	Actually, neither. I'm trying to reduce my carb intake, so I was thinking of making a green smoothie instead.	(food,yes)|(healthy food,no)|(carbs,yes)
5319	Oh, that's a good idea. But honestly, I usually just end up getting takeout.	(cooking,no)
3766	No, I don't really like coffee.	(food and drinks,no)
4278	I'm an accountant. It's pretty boring stuff, to be honest.	(career,no)|(accounting,no)
5239	Not much, just work.	(work,no)
3884	No, I am not a big fan of surfing.	(travel,yes)|(water sports,no)
8498	I like country music.	(music,yes)|(music genre,yes)|(country music,yes)
468	No, I'm not really interested in having pets.	(pets,no)
5615	The Lakers, mostly. Though I do follow some players from other teams, too.	(sports,yes)
12194	I really like playing first-person shooter games like Call of Duty.	(hobbies,yes)|(video games,yes)|(Call of Duty,yes)
4100	I was playing Call of Duty.	(video games,yes)|(Call of Duty,yes)
2935	Yeah, same here. Talk to you later.	(farewell,yes)
10709	Not really. I haven't been to the movies in ages.	(movie,no)
1845	Well, it's worth a watch if you have the time.	(movie,yes)
7028	No, not really.	(books,no)
7769	No, I haven't.	(comedy,yes)|(live comedy show,no)
10435	Yeah, I love to travel!	(travel,yes)
12530	I'm not really a strong swimmer, so I try to stay away from water.	(exercise,no)|(swimming,no)
2828	Not really, I prefer other types of exercise.	(hiking,no)
10340	I work for a tech company.	(career,yes)|(company,yes)|(tech company,yes)
4421	Yeah, it's really good. Hey, you know what's not good though? The weather today.	(weather,unknown)
4355	Absolutely! Who doesn't love seeing live music?	(music,yes)
827	Yeah, I love cooking.	(food,yes)|(cooking,yes)
8964	I'm a data entry clerk. It's pretty boring, to be honest.	(work,no)|(job satisfaction,no)
8203	Hmm, sounds interesting. But I'm more of a drama person, you know?	(TV show,unknown)|(TV genre,no)|(drama,yes)
143	I don't really have one, but I like the classics like John Coltrane and Miles Davis.	(music,yes)|(music artist,yes)|(John Coltrane,yes)
8838	Nope, sorry, sports aren't my thing.	(sports,no)
11540	I like to listen to music and read books. What about you?	(leisure,yes)
1902	That's great! All right, I have to go now. Nice talking to you.	(bye,unknown)
1631	Yeah, I just finished watching Breaking Bad. It was amazing.	(TV show,yes)|(Breaking Bad,yes)
1744	Sure, What do you have in mind?	(general,yes)
5289	Hmm, I don't think that's for me.	(mental health,no)|(meditation,no)
959	My favorite team is the Lakers. What’s your favorite team?	(sports,yes)|(favorite team,yes)
6908	Yes, I did.	(television,yes)|(Game of Thrones,yes)
9456	I do enjoy watching TV, what shows do you like?	(TV shows,yes)
847	Yeah, it's okay.	(entertainment,yes)|(TV shows,yes)|(The Office,no)
1012	"Yeah, I've been really into ""Ted Lasso"" lately. Have you seen it?"	(TV show,yes)|(Ted Lasso,yes)
1481	Hmm, I'll have to check it out. So, what do you do for work?	(work,no)
11838	Not really, they kind of freak me out.	(science,yes)|(astronomy,yes)|(black holes,no)
12655	Not really. I'm not much of a reader.	(books,yes)|(reading,no)
4663	I prefer action and adventure movies. But I also enjoy romantic comedies sometimes.	(movies,yes)|(movie genre,yes)
5103	Sorry, I'm not really into dogs.	(animals,yes)
3576	Uh, not really. Cancer research is kind of a sad topic to me.	(medicine,yes)|(cancer research,no)
9824	Same to you! Have a good day.	(farewell,yes)
13142	No, I haven't. I've never been outside of the country actually.	(travel,yes)|(traveling to Italy,no)
8340	"Not really. I tried watching ""The Crown,"" but I found it a bit boring."	(TV show,no)|(The Crown,no)
13107	No way! I'm way too scared of heights.	(thrill,no)
6997	Honestly, I have no idea. I just heard the IT people talking about it.	(job,no)|(software update,no)
6274	It's very exotic, but you might not like the unique blend of flavors.	(food,yes)|(Ethiopian cuisine,no)
1766	Not really, I mostly just stick to the classic pizza and pasta dishes.	(food,yes)|(Italian cuisine,no)
11336	Definitely Jesse Pinkman, he's so relatable.	(TV show,yes)|(favorite character,yes)|(Jesse Pinkman,yes)
9423	Definitely, Morpheus.	(movie,yes)|(movie character,yes)|(Morpheus,yes)
11871	I'm a really picky eater, so I don't really have a favorite cuisine.	(food,no)
1391	I appreciate the suggestion, but I really just want to have some downtime at home.	(weekend,yes)|(movie,no)|(movies,no)
10140	Yeah, I love movies! What's your favorite movie?	(movie,yes)|(favorite movies,unknown)
1878	Sure, that sounds great.	(food,yes)|(restaurant,yes)|(weekend plans,yes)
3848	Not really, I'm saving money right now.	(vacation,no)
7339	Yeah, work can be pretty overwhelming at times.	(work,yes)
6470	Mostly basketball and football.	(sports,yes)|(favorite sport,yes)
5733	Sounds great. Who are you going to see?	(weekend,yes)|(concert,yes)|(band name,yes)
766	I don't actually watch TV.	(TV series,no)
2051	No, I haven't traveled anywhere in a while.	(travel,no)
12047	Honestly, I'd rather not talk about the weather. It's just small talk.	(weather,no)
842	I'm really not into sitcoms.	(TV shows,yes)|(sitcoms,no)
1404	Not really. I'll probably just stay in and relax.	(weekend,no)
12042	No, I'm not much of a cook.	(cooking,no)
11148	I am doing great. Thanks for asking.	(greeting,yes)
7993	Not really, I prefer to work out at home.	(fitness,yes)|(gym,no)
485	Not really, I'm not a big movie buff.	(movie,no)
5419	That sounds interesting, but I don't know much about the art world.	(art,no)
1586	Absolutely. Hey, sorry, I have to cut this conversation short. I have a meeting in five minutes.	(work,no)
5568	No, I'm not really interested in cars.	(car,no)
12185	Yeah, I can see why people enjoy doing that, but it's just not for me.	(outdoor activities,no)
4944	Yeah, I guess not.	(common interests,no)
11919	A crime drama. But it wasn't that engaging.	(movies,no)|(crime drama,no)
2025	Not really, I'm pretty boring. I just work and watch TV. What about you?	(hobbies,yes)|(opinions,unknown)
9562	No, I can't eat seafood.	(food,no)|(seafood,no)
3386	Oh, cool. I've been watching Stranger Things recently. Have you seen it?	(TV show,yes)|(Stranger Things,yes)
13251	Not really, I don't have time for that either.	(video games,no)
245	Now you're talking my language! I love Italian food.	(restaurant,yes)|(cuisine,yes)|(Italian,yes)
9478	Not really my thing.	(sports,no)
5683	Yeah, dogs are okay I guess. But I just don't want the responsibility of taking care of another living thing.	(pets,no)|(not wanting a pet,no)
7212	Not really. Mostly just pop.	(music,yes)|(genre,unknown)
5924	I don't really play sports, but I do like watching basketball sometimes.	(sports,yes)
4882	Actually, I don't really listen to music much at all.	(music,yes)|(favorite music genre,no)
105	Not great, I had a bad day at work.	(life,yes)|(work,no)
12153	Not really. Played Fortnite once, but didn't like it.	(video games,no)
11279	I'm good, what's up?	(greeting,yes)
2147	I just find it tedious and monotonous to deal with numbers all day. And my boss is always breathing down my neck.	(job,no)|(job dissatisfaction,no)
13263	Not really, I don't watch TV very often.	(TV shows,no)
9203	Oh, I've played Age of Empires before. It's a good game.	(video games,yes)|(real-time strategy games,yes)|(Age of Empires,yes)
2560	I'm a dog person, myself. How about you?	(pets,yes)|(cats or dogs,yes)
1605	No, not really. What's up?	(news,unknown)
11951	Exactly. Let's talk about something else, okay? How about the weather?	(environment,yes)|(weather,yes)
3500	Ah, I see.	(food,yes)|(sushi,no)
6296	Yeah, no problem, catch you later!	(goodbye,yes)
2115	I hear you, man. Making new friends can be tough. But it's cool that you found some people you get along with.	(friendship,yes)|(new friends,unknown)
5558	Not really, I'm not much of a sports person.	(sports,no)
2365	Hmmm, I thought it was a little frustrating actually. But I won't say more than that so I don't give anything away to you.	(movie,yes)|(movie ending,yes)
12999	Not really, just some crime shows.	(TV,yes)|(TV shows,no)|(crime shows,no)
18	No, I haven't.	(food,yes)|(new restaurant,yes)
8058	Will do. Well, I actually have to run now. It was great catching up with you!	(farewell,yes)
5856	Ugh, that sounds terrible. I hate period dramas. I can't stand all the corsets and powdered wigs.	(TV,yes)|(show genre,no)|(period drama,no)
5	I really like The Beatles and Elvis Presley.	(music,yes)|(bands/artists,yes)|(The Beatles/Elvis Presley,yes)
10174	He's a golden retriever. How about you, do you have any pets?	(pets,yes)|(dog,unknown)
10411	Oh, I like pretty much all kinds of music, but I'm not a huge fan of metal.	(music,yes)|(metal,no)
13021	You too.	(goodbye,yes)
2024	Actually, I just saw this new show on Netflix called The Queen's Gambit. It's really well-made and interesting.	(TV shows,yes)|(recommendations,yes)|(The Queen's Gambit,yes)
1786	No, I didn't. Who played?	(sports,yes)|(team,yes)
5708	Not really. Honestly, I only watch Netflix when I'm bored and can't find anything else to do.	(streaming services,yes)|(favorite shows,no)
6291	"Yeah, I've been really enjoying ""Serial"" and ""Crime Junkie""."	(podcasts,yes)|(true crime,yes)
6861	I mostly listen to pop music.	(music,yes)|(pop music,yes)
3523	No, I don't. Do you?	(pets,unknown)
6626	I'm a big fan of the Green Curry.	(food,yes)|(favorite Thai dish,yes)
7218	Yeah, actually, I really love painting.	(hobbies,yes)
5548	I really enjoyed the battle scenes, they were epic.	(movies,yes)|(movie scene,yes)|(battle scenes,yes)
11434	Not much really, just watching TV or playing video games.	(weekend,unknown)|(TV and video games,no)
8947	Honestly, I haven't been to a movie in ages.	(movies,no)
15	Well, the action scenes were amazing, and the concept of reverse entropy really got me thinking.	(movie,yes)|(movie aspect,yes)|(reverse entropy,yes)
8290	No, I haven't.	(food,yes)|(new restaurant,unknown)
2093	Same here! See you later.	(goodbyes,yes)
8613	Not really. I haven't had much time to watch movies lately.	(movies,no)
5714	No, I haven't. I heard it's pretty intense, though.	(TV show,unknown)
2065	No, I don't really follow aerospace stuff.	(technology,no)|(SpaceX launch,no)
9211	I don't really read books either.	(book,no)
6085	No, not really. I haven't had the time.	(outdoors,yes)|(hiking,no)
1454	I love chocolate! Especially dark chocolate.	(food,yes)|(chocolate,yes)|(dark chocolate,yes)
9471	Ah, I'm not really into those.	(video games,no)
6631	Tell me about it. So, what else have you been up to lately?	(conversation,yes)
2329	Yeah, I have. But I'm not a big fan of her writing style.	(books,yes)|(genre,yes)|(Agatha Christie,no)
2749	Actually, I'm not a big fan of Italian food.	(food,no)|(cuisine,no)|(Italian food,no)
8534	I guess I'll give it a try anyway. What else do you want to talk about?	(food,yes)|(restaurant,yes)
11066	I don't really have a favorite character. I just think the storyline is interesting.	(TV shows,yes)|(TV show characters,unknown)
9150	No, I haven't.	(coffee,yes)|(new coffee shop in downtown,yes)
9341	"Actually, yes. I just watched ""Breaking Bad"" and it's amazing!"	(movie/TV show,yes)|(Breaking Bad,yes)
905	Actually, I don't. I don't really like seafood.	(food,yes)|(sushi,no)
5509	Yeah, I have a dog. She's a Golden Retriever. I love her to pieces.	(animals,yes)|(pets,yes)|(Golden Retriever,yes)
13184	I had the lasagna, it was amazing.	(food,yes)|(dish type,yes)|(lasagna,yes)
10257	Yeah, same here. Have a good one.	(closing,yes)
4979	No, I haven't watched any TV in a week.	(TV show,no)
4849	Just some reports for my boss. The usual stuff.	(work,no)
4676	Really? I find comedies to be so boring. There's no real substance to them.	(TV,yes)|(genre,no)
2293	Not really. With the pandemic and everything, I haven't been able to go anywhere exciting.	(travel,no)
310	Not really, I don't have much time for movies.	(movie,no)
9648	Yeah, definitely not. I actually use a laundry service so I don't have to deal with it myself.	(chores,no)|(laundry,no)
2015	I don't know, just relax mostly.	(free time,no)
3895	Not bad, just feeling a bit tired.	(mood,unknown)
9458	I'm into crime dramas and thrillers, like Law & Order or Black Mirror.	(TV shows,yes)|(drama,yes)
206	Definitely. I mostly listen to indie rock and folk music.	(music,yes)|(music genre,yes)|(indie rock,yes)
9674	I'm not really a fan of sushi, to be honest.	(food,no)|(sushi,no)
12596	I like to read, mostly.	(relaxation,yes)|(reading,yes)
3717	Honestly, I'm not a super adventurous eater. I pretty much stick with burgers and fries.	(food,no)|(fast food,no)
9955	No, I'm not really into TV shows.	(TV,no)
583	Yeah. Do you have any plans for the summer?	(summer plans,yes)
3727	I mostly just hang out with friends and watch TV.	(general topic,yes)
7808	It was fine, just a usual day.	(casual conversation,yes)
7792	Yeah, I bet. What kind of books do you write?	(writing,unknown)
9409	Not really. I don't have much interest in sports in general.	(sports,no)
1573	Nah, sports are just not my thing.	(sports,no)
11996	Oh, gotcha. Yeah, I've been playing a lot of different games lately. Do you have any favorites?	(video games,unknown)|(favorite games,no)
1781	I've been trying to meditate and listen to calming music.	(stress relief,yes)|(calming music,yes)
11172	I really like romantic comedies. What about you?	(movies,yes)|(movie genre,yes)|(romantic comedies,yes)
5360	Yeah, I don't really have the money for that right now. Speaking of money, do you own any stocks?	(finance,unknown)|(stocks,no)
1293	Sorry, I have to pass. Beaches are not my thing.	(travel,no)|(beaches,no)
2684	I don't feel so strongly about it.	(sports,yes)|(rock climbing,no), no)
8814	No problem. Anyway, I have to get back to work now. Talk to you later.	(general,yes)|(leaving conversation,no)
8997	I work in accounting. It's pretty dull.	(work,no)
4991	I don't like that book, too depressing and too much politics.	(book,no)|(1984,no)
11226	Not really, I'm trying to save up money.	(travel,no)
348	"I actually just finished a new show on Netflix called ""Ozark."" Have you seen it?"	(TV show,yes)
4229	Risk management, mostly. It's not the most exciting work, but it pays the bills.	(work,yes)|(finance type,no)|(risk management,no)
3686	Hmm, they're not really my thing. What about movies? What's the last movie you watched?	(movie,yes)
6659	Well, I'm really into photography.	(hobby,yes)|(photography,yes)
9769	Actually, I've just been watching old episodes of Friends on Netflix.	(TV shows,no)|(Friends,no)
7062	No, I haven't. What's it called?	(coffee,yes)|(cafe,yes)|(coffee place name,yes)
9726	No, I'm not really into sports.	(sports,no)
8621	No, I haven't.	(movie,no)|(movie title,no)|(Inception,no)
2840	I watched this new documentary about climate change. It was really interesting.	(documentary,yes)|(climate change,yes)
6571	Mexico. The food was good, but the beaches were too crowded for my liking.	(vacation,no)
8352	No, I haven't.	(gaming,yes)|(virtual reality,no)
6082	I'm not a big fan of modern art.	(art,no)|(modern art,no)
6958	I might. I'm more of a fan of Japanese food though.	(food,yes)|(Japanese cuisine,yes)
7823	No, sorry, don't really have any good travel stories to share right now.	(travel,no)
2149	Well, I've always enjoyed playing guitar. Maybe I could pursue a career in music.	(passion,yes)|(music,yes)
470	Not much, just binge-watched some shows on Netflix.	(TV shows,yes)|(Netflix,yes)
5365	Wow, I didn't know that. But that's cool. I respect people's dietary choices. Speaking of choices, what's your favorite TV show?	(TV show,unknown)
8853	I like classical music.	(music,yes)|(music genre,yes)|(classical music,yes)
816	Not really, I just stayed at home and watched TV.	(weekend,no)
2845	No, I haven't had time.	(cafe,no)
7693	Yeah, a few times actually. I've been to Canada and Mexico.	(travel,yes)|(Mexico,yes)
4410	I mostly listen to classical music.	(music,yes)|(classical,yes)
10444	Not really, I mostly just watch TV.	(hobbies,no)
4252	Not really, it's all so overwhelming.	(news,no)
2879	It's about how humanity reacts when we discover that an alien civilization is planning to invade Earth.	(book,yes)|(book plot,yes)
1764	Actually, yes, I just finished reading The Catcher in the Rye, and I really enjoyed it.	(books,yes)|(The Catcher in the Rye,yes)
9907	Not really, I haven't watched anything new in a while.	(entertainment,yes)|(movie,no)
3510	I'm doing alright.	(greeting,yes)
6770	That's cool, I guess. Personally, I find it pretty boring. Anyway, I should get going. Talk to you later.	(goodbye,yes)
2207	No, I haven't.	(restaurant,yes)|(new restaurant downtown,yes)
5178	I usually just watch TV or browse the internet.	(hobby,no)|(TV/internet,no)
5167	Not much, just completed some chores and did some reading.	(daily life,yes)|(activities,yes)|(reading,yes)
6031	Not really, no.	(sports,no)
9888	No, not really. I find them kind of boring.	(movie,no)
6045	No, I'm not really into sports.	(sports,no)
5215	Yeah, I've thought about it, but I haven't found anything that really interests me yet.	(hobby,no)
5261	Not really, I usually just cook at home.	(restaurants,no)
1984	Yes, I have a dog named Luna. She's so sweet.	(pets,yes)|(Luna,yes)
12256	Mostly just hang out with friends or watch TV.	(hobbies,yes)|(hanging out with friends,yes)
13098	Hmm... I'm not really into crime shows.	(TV shows,no)|(crime shows,no)
6159	No way, I'd never jump out of a plane like that.	(sports,no)|(skydiving,no)
12103	I know what you mean. I feel the same way. Is there anything else you're interested in?	(interest,yes)
12409	Definitely.	(news,yes)|(normalcy,yes)
3980	Yeah, I play video games from time to time.	(video games,yes)
5310	Actually, yes. I tried a new recipe for dinner and it turned out really well.	(food,yes)|(cooking,yes)|(recipe,yes)
13035	Yes, I like photography and reading books.	(hobbies,yes)|(photography,yes)
12827	Not really, I find sci-fi to be a bit boring.	(TV shows,no)|(genre,no)|(sci-fi shows,no)
12590	I don't really follow any sports.	(sports,no)
6359	Oh yeah, that's a classic. What about TV shows, do you watch any good ones?	(TV shows,yes)
5863	No, I'm not really into sports.	(sports,no)
13109	Yeah, actually, I have. It was a total disaster. I don't like talking about it though.	(beauty,no)
12601	It was really boring, I didn't do much.	(weekend,no)
3043	I'm good, thanks for asking.	(how are you doing,yes)
12132	Sorry, I'd rather not talk about that.	(politics,no)
8693	Actually, I think I'm more of a homebody. I think I prefer staying in and catching up on my reading.	(music festival,no)
3082	Nope, also not a fan of heights. Sorry!	(bungee jumping,no)
10311	I like watching crime shows. They're really interesting.	(entertainment,yes)|(tv shows,yes)|(crime shows,yes)
8050	Actually, I haven't had time to watch any shows lately.	(TV shows,no)
662	Not really, puzzles are so boring.	(hobby,no)|(puzzle,no)
817	Not really, I'm kind of a boring person.	(hobbies,no)
9965	Well, it's not for everyone. What's your favorite type of vacation?	(vacation,yes)
6715	I mostly eat pizza and burgers.	(food,yes)|(cuisine,yes)|(pizza,yes)
6215	Not really, I prefer just listening to music on my own.	(music,yes)|(concerts,no)
3597	I haven't gone on vacation for a while now. I find it hard to find time and money for that.	(travel,no)
2767	Well, I just finished this mystery novel that I really enjoyed. But I don't think you'd like it.	(books,yes)|(mystery novels,no)
6	Honestly, I've never been much of a sports fan.	(sports,no)
5518	That sounds delicious. Have you been to any other good restaurants lately?	(restaurant,yes)|(good restaurants,yes)
12012	I don't know, I enjoy relaxing at home sometimes.	(weekend,no)
8189	No, not really.	(activity,yes)|(reading,yes)|(good book,no)
249	Mostly RPGs and action games. I'm not really into sports games or anything like that.	(video games,yes)|(game genre,yes)
10862	Not really, like I said, I don't travel much.	(travel,no)|(vacation spots,no)
10001	No, I missed it. I'm not interested in that show anyway.	(TV show,no)
12570	I usually watch action movies, but I'm not a huge fan of horror films.	(entertainment,yes)|(movie genre,yes)|(horror movies,no)
12283	I prefer playing games. Watching sports isn't really my thing.	(Sports,no)|(playing vs. watching sports,yes)
1413	Honestly, no - I don't really know much about classical music.	(music,no)|(classical music,no)
3201	Paris, definitely. We stayed in a fancy hotel right by the Eiffel Tower.	(travel,yes)|(favorite city,yes)|(Paris,yes)
5620	Probably Italian. I love pasta and pizza, and a good wine to go with it.	(food,yes)
3843	No, I haven't. I'm not really a big fan of camping, to be honest.	(activity,yes)|(camping,no)
1385	Really? Even the really spicy stuff?	(food preference,no)|(spicy food,no)
2994	Definitely the food. The sushi was amazing.	(travel,yes)|(food,yes)|(sushi,yes)
3582	Not really. I find yoga a bit boring, to be honest.	(fitness,yes)|(yoga,no)
1125	Actually, I did watch a great movie the other day - The Shawshank Redemption.	(movie,yes)|(movie title,yes)|(The Shawshank Redemption,yes)
8393	I'm more into Asian cuisine. I love sushi.	(food,yes)|(Asian cuisine,yes)|(sushi,yes)
6881	Yeah, I tried the new place downtown. It was pretty good.	(food,yes)|(restaurant,yes)|(downtown,yes)
228	Yeah, I love watching TV. But I'm not that interested in any new ones at the moment.	(TV shows,no)
9460	No, I try to avoid that stuff. It's all so negative and stressful.	(politics,no)
13105	Not really, to be honest. I don't like talking about politics.	(politics,no)
12079	Well, for me it's all about breaking the project down into smaller, more manageable tasks. That way I can feel like I'm making progress even if the project as a whole is still a long way off.	(technology,yes)|(motivation,yes)
7356	No, I haven't. What game are you talking about?	(video games,yes)|(new game,unknown)
3295	No, I haven't.	(places,yes)|(cafe,unknown)|(new cafe downtown,unknown)
9359	Not really, I haven't had a chance to go to the theater lately.	(movie,no)
12264	Not really, my job takes up most of my time.	(hobby,yes)|(job,no)
8015	I am not really interested in movies either. Sorry.	(movies,no)
