targets	response	score
I usually play first-person shooter games.	[' video games yes ', ' game genre yes ', ' shooter games yes ']	[' video games yes ', ' game genre yes ', ' first-person shooter yes ']	0.7347384487596592
Yes, I love it. Nothing beats sleeping under the stars.	[' camping yes ', ' outdoor activities yes ']	[' camping yes ']	0.7789236007903364
Not really, I find it kind of boring.	[' books no ']	[' reading no ']	0.6718813449511324
No, I haven't. I don't really have any interest in traveling right now.	[' travel no ']	[' travel no ']	0.9999999872250708
No, I haven't.	[' games no ']	[' restaurant unknown ']	0.13977204441817004
I try to be mindful of my impact on the environment, but I wouldn't say I'm an activist or anything.	[' environment unknown ']	[' environment yes ']	0.5767341874505939
Not really my thing, I already spend too much time in my apartment.	[' travel yes ', ' staycation no ']	[' hobby no ', ' leisure activity no ']	0.3935614525560177
Oh yeah, I like that one too.	[' virtual reality gaming yes ', ' VR game yes ', ' Beat Saber yes ']	[' entertainment yes ', ' TV show yes ', ' Breaking Bad yes ']	0.4538720553591302
Right now, I'm really into Call of Duty.	[' hobbies yes ', ' video games yes ', ' Call of Duty yes ']	[' video games yes ', ' favorite game yes ', ' Call of Duty yes ']	0.5728649611361871
Not really. I don't have much interest in sports.	[' sports no ']	[' sports no ']	0.9999999819397033
I'm not really into that extreme stuff.	[' outdoor activity yes ', ' extreme sports no ']	[' adventure no ']	0.44946555159656165
I just like to watch movies or read books.	[' movies yes ']	[' free time yes ', ' reading yes ']	0.5419120308331258
How's work been treating you lately?	[' work no ']	[' work yes ']	0.6771393382669634
No, I haven't.	[' reading yes ', ' Wheel of Time series no ']	[' travel no ']	0.3303631238468145
I love watching sitcoms like Friends or Seinfeld.	[' movies/TV shows yes ', ' comedy sitcoms yes ']	[' entertainment yes ', ' tv show yes ', ' sitcoms yes ']	0.6343296995867486
Mostly first-person shooter games like Call of Duty.	[' games yes ', ' video games yes ', ' Call of Duty yes ']	[' video games yes ', ' game genre yes ', ' Call of Duty yes ']	0.6450504643955027
Mostly action/adventure games like Assassin's Creed or Call of Duty.	[' video games yes ', ' video game genre yes ', " Assassin's Creed yes "]	[' entertainment yes ', ' video games yes ']	0.6282598768610976
Not really, I'm kind of afraid of them.	[' animals no ']	[' science yes ', ' scientific theories yes ', ' hypotheses no ']	0.37229821655175127
Not really. I don't follow sports much. Sorry.	[' sports no ']	[' sports no ']	0.9999999819397033
Not really, I find a lot of new pop songs to be kind of repetitive and boring.	[' music no ', ' pop music no ']	[' music no ', ' pop music no ']	0.9378830722754357
Oh man, their Pad Thai is amazing! You have to try it.	[' food yes ', ' Thai food dish yes ', ' Pad Thai yes ']	[' food yes ', ' dish yes ', ' Pad Thai yes ']	0.6878343184872842
Sorry, I can't. I'm going to be swamped with work. Maybe some other time.	[' socializing no ']	[' outdoors no ', ' camping no ']	0.6027085807955141
Not really, I don't find them that entertaining.	[' gaming no ']	[' movies no ']	0.5266773127362808
I enjoy hiking and exploring the outdoors.	[' Hobbies yes ', ' Hiking yes ']	[' hobbies yes ', ' outdoor activities yes ', ' hiking yes ']	0.6835538147237661
No, not really.	[' weekend no ']	[' hobbies no ', ' reading no ']	0.45445908434645355
No, I actually don't watch sports.	[' sports no ']	[' sports no ']	0.9999999819397033
No, I don't really care about that show.	[' TV shows"   Game of Thrones no ']	[' TV shows no ', ' Game of Thrones no ']	0.7699446578113971
I'm really into Italian cuisine.	[' food yes ', ' Italian cuisine yes ']	[' food yes ', ' cuisine yes ', ' Italian yes ']	0.7314876554819856
Yes, I've been watching Stranger Things on Netflix. It's really good.	[' TV shows yes ', ' favorite show yes ', ' Stranger Things yes ']	[' TV show yes ', ' Stranger Things yes ']	0.6965311801936238
I saw The Weeknd. He's one of my favorite artists.	[' music yes ', ' singer yes ', ' The Weeknd yes ']	[' music yes ', ' concert yes ', ' The Weeknd yes ']	0.6933275769315997
Yes, I really enjoyed Knives Out.	[' movies yes ', ' movie title yes ', ' Knives Out yes ']	[' movie yes ', ' movie title yes ', ' Knives Out yes ']	0.6623061829109682
Yeah, that's a good idea. What do you like to do for fun on the weekends?	[' weekend plans yes ']	[' weekend yes ', ' fun activities unknown ']	0.5429873101408574
Yeah, I love traveling!	[' travel yes ']	[' travel yes ']	0.9999999753587387
Not really. I don't have much free time these days.	[' hobby no ']	[' TV shows no ']	0.4157861646405481
I usually go for a walk or read a book.	[' relaxation yes ', ' activity yes ', ' reading yes ']	[' hobby yes ', ' reading yes ']	0.5885243203867924
Her name is Luna. She's a German Shepherd.	[' animals yes ', ' German Shepherd yes ']	[' pets yes ', ' dog yes ', ' Luna yes ']	0.5752061853080916
No, I'm not that interested in sports.	[' sports no ']	[' sports no ']	0.9999999819397033
Not really, just going to relax at home.	[' plans no ']	[' weekend no ']	0.5704749025231629
If you're interested in business, I recently read "Shoe Dog" by Phil Knight. It's about how he started Nike.	[' books yes ', ' business books yes ', ' Shoe Dog yes ']	[' books yes ', ' business book yes ', ' Shoe Dog yes ']	0.6996940816056734
That sounds great. Do you have a favorite snowboarding spot?	[' activity yes ', ' snowboarding spot unknown ']	[' sports yes ', ' snowboarding yes ']	0.4508296782123635
Not really, I prefer music.	[' music yes ']	[' entertainment yes ', ' books no ']	0.5336797093568044
Not much, just trying to stay healthy and fit. I've been exercising a lot lately.	[' fitness yes ']	[' fitness yes ']	0.9999999924935621
Hi, I'm okay.	[' weather no ']	[' greeting yes ']	0.24007639614526877
Not really. I think I should be getting back to work now, sorry.	[' miscellaneous no ']	[' work no ']	0.5246406731164583
I love playing football.	[' hobbies yes ', ' football yes ']	[' indoor sports yes ', ' football yes ']	0.6415300578547966
Mostly just crime documentaries.	[' TV no ', ' crime documentaries no ']	[' TV shows no ', ' documentaries no ']	0.7144860364165089
Never heard of it. Is it any good?	[' TV yes ', ' show unknown ', ' Bridgerton unknown ']	[' TV series yes ', ' Better Call Saul unknown ']	0.4546187913392454
Yeah, it was a great match!	[' sports yes ']	[' sports yes ', " yesterday's game yes "]	0.8030272845749808
No, just hung out at home.	[' weekend yes ']	[' home activities no ']	0.2790156788266165
It was good. I went to the beach with my family.	[' weekend yes ', ' family yes ']	[' beach yes ']	0.5376946582495432
I usually just watch TV.	[' hobbies no ']	[' entertainment yes ', ' TV yes ']	0.31907928926121004
Yeah, it was good to see you too. Talk to you later!	[' goodbye unknown ']	[' goodbye yes ']	0.7191150082914878
Well, I love reading books. How about you?	[' hobbies yes ', ' reading yes ']	[' book yes ']	0.5834681454025242
No, I'm not really into reading either.	[' books no ']	[' book no ']	0.8583480947508343
Sure, that sounds good.	[' food yes ', ' sushi yes ']	[' socializing yes ']	0.5071054174957368
Yeah, I get that. How about sports? Do you follow any teams?	[' sports no ', ' team following no ']	[' sports yes ', ' sports team unknown ']	0.5310390184204142
No, I'm allergic to animals.	[' pets no ']	[' pets no ']	0.999999977518144
Not really, I don't find movies that interesting.	[' movies no ']	[' movie no ']	0.8874147804621596
Yeah, I love reading! I'm currently reading a mystery novel.	[' reading yes ', ' book yes ', ' mystery novel yes ']	[' entertainment yes ', ' reading yes ', ' mystery novel yes ']	0.6188418399245951
Not really. I am more of a couch potato.	[' sports yes   no ']	[' sports no ']	0.9044138158029943
No, I hate working out. It always feels like such a chore.	[' exercise no ']	[' exercise no ']	0.9999999824526764
No, unfortunately, I don't have any trips planned right now.	[' travel no ', ' upcoming trips no ']	[' travel no ']	0.8514203461242025
Yeah, I'm currently watching Game of Thrones.	[' TV show yes ', ' Game of Thrones yes ']	[' TV show yes ', ' Game of Thrones yes ']	0.7077542263074095
Yeah, I used to play soccer in high school.	[' sports yes ', ' soccer yes ']	[' sports yes ', ' soccer yes ']	0.8779252647131814
Oh no, that's terrible. I don't really want to talk about it.	[' news yes ', ' explosion no ']	[' news no ', ' money crisis no ']	0.48445762593706104
Actually, I don't really follow sports that much either.	[' sports no ', ' favorite team no ']	[' sports no ']	0.7660513904372797
Not really, I prefer to just relax and watch TV.	[' fitness no ']	[' exercise no ']	0.6288594335120521
Sure, if you like fantasy, you should check out "The Name of the Wind" by Patrick Rothfuss. It's amazing.	[' hobbies yes ', ' book recommendation yes ', ' The Name of the Wind yes ']	[' books yes ', ' recommendation yes ', ' The Name of the Wind yes ']	0.5713124106800676
Not really, I've been cutting back on eating out.	[' food no ']	[' food no ', ' restaurants no ']	0.8578942918085289
Not yet, but I'd love to.	[' food yes ', ' sushi yes ', ' Main Street sushi place yes ']	[' art yes ']	0.5119074875459719
Not really. I have been busy with work.	[' books no ']	[' books no ']	0.9999999905938901
Yes, I just finished "The Martian" by Andy Weir. It was amazing.	[' books yes ', ' The Martian yes ']	[' books yes ', ' The Martian yes ']	0.702914528283127
Ugh, please no. I'd rather talk about anything else than politics.	[' politics no ', ' election no ']	[' politics no ']	0.8309432543275597
I'm a big fan of true crime podcasts. I love learning about serial killers and unsolved mysteries.	[' podcasts yes ', ' true crime yes ']	[' podcasts yes ', ' true crime yes ']	0.6705548023302434
I just finished watching Breaking Bad for the first time, and it was amazing. Have you seen that one?	[' TV shows yes ', ' Breaking Bad yes ']	[' TV show yes ', ' Breaking Bad yes ']	0.7052505469116664
Not really. It seems like there haven't been any good movies out lately.	[' movie no ']	[' movies no ']	0.8874147804621596
Justin Bieber.	[' music yes ', ' pop music yes ', ' Justin Bieber yes ']	[' music yes ', ' pop yes ', ' Justin Bieber no ']	0.7043966339835882
No, I can't stand them.	[' TV shows no ']	[' movie yes ', ' horror no ']	0.45254793538278854
You too!	[' farewell yes ']	[' farewell yes ']	0.9999999944726996
Not really, I've been rewatching old episodes of Friends.	[' TV show no ', ' Friends yes ']	[' TV shows no ', ' Friends no ']	0.6203688851753778
No, I haven't yet.	[' TV show yes ', ' Black Mirror no ']	[' restaurant yes ', ' new restaurant yes ']	0.3589403376791733
Yeah, I like playing video games in my free time.	[' hobby yes ', ' video games yes ']	[' hobbies yes ', ' video games yes ']	0.6566685247949193
No, I don't. I just appreciate the artistry that goes into making music.	[' music yes ']	[' music yes ', ' music appreciation yes ']	0.9070821436763362
To be honest, not really. What about you?	[' sports no ']	[' movie yes ']	0.321295752458306
Well, not really. I spend most of my free time watching TV.	[' hobby no ', ' TV yes ']	[' hobbies no ']	0.5547423820222619
Yeah, I have. It's good, but I don't get to eat it often because it's so pricey.	[' food unknown ', ' seafood yes ', ' lobster yes ']	[' food yes ', ' Italian restaurant yes ']	0.5390854004071858
Just okay, you?	[' greeting yes ']	[' health yes ']	0.4833199546050977
Honestly, I try not to pay attention to the news these days. It's all just depressing.	[' news no ']	[' news no ']	0.9999999912586689
Not really, I don't have much time for TV.	[' TV shows no ']	[' TV shows no ']	0.9999999937532956
That sounds like a great idea.	[' restaurant yes ']	[' food yes ', ' restaurant yes ']	0.8297103318838697
Actually, I don't really like reading.	[' books no ']	[' entertainment yes ', ' reading no ']	0.48312926755434055
Sorry, I'm not really a drinker.	[' drinks no ']	[' restaurant yes ', ' drinking no ']	0.5837517422541737
Sometimes, but not always.	[' movie yes ', ' romantic comedy movie unknown ']	[' movie yes ', ' documentaries unknown ']	0.6344794967986618
Yeah, I'm really into gardening.	[' hobbies yes ', ' gardening yes ']	[' hobbies yes ', ' gardening yes ']	0.8181463724555919
Not really, I don't have time for that either.	[' exercise no ']	[' video games no ']	0.40936959263903816
Honestly, I am not much of a book reader.	[' book no ']	[' book no ']	0.9999999892923398
No, not really.	[' video games no ']	[' books no ']	0.5120592159836665
Mostly rom-coms. Wimbledon, Love Actually, typical boring stuff.	[' Netflix yes ', ' movie genre no ']	[' movie no ', ' rom-com no ']	0.5150230790783057
Yeah, actually there is. I'm really into my job lately and I'm psyched about the new project I'm working on.	[' work yes ', ' new project yes ']	[' career yes ', ' job satisfaction yes ']	0.5138482288536464
Huh, I did not know that.	[' random facts unknown ']	[' food yes ', ' sushi yes ']	0.22692832884863695
I usually listen to pop music, but not a big fan of Justin Bieber.	[' music yes ', ' Justin Bieber no ']	[' music yes ', ' genre yes ', ' Justin Bieber no ']	0.6577491183332711
Not really. I'm not very skilled in the kitchen.	[' cooking no ']	[' cooking no ']	0.9999999960595128
Honestly, I don't care much about that.	[' movie no ', ' James Bond no ']	[' economics no ']	0.42424137643845783
No, I don't really have any interest in it, to be honest.	[' extreme sports no ', ' skydiving no ']	[' video games no ']	0.4572900714000707
Definitely, I'll talk to you later.	[' ending conversation yes ']	[' ending the conversation yes ']	0.979530926778364
I don't really have a preference.	[' movie no ']	[' music no ']	0.6466971289656485
No, I haven't. I'm not a big fan of Thai food, to be honest.	[' food no ', ' Thai food no ']	[' food no ', ' Thai food no ']	0.8884053443957651
I enjoy playing video games and watching TV.	[' video games yes ']	[' entertainment yes ', ' video games yes ']	0.7939430622562618
Not really. I prefer to just go with the flow and not plan things out too much.	[' hobbies yes ']	[' personal life yes ', ' planning no ']	0.4010538055374194
Ugh, let's not.	[' weather no ']	[' politics no ']	0.48046427966155014
Honestly, I'm so sick of politics.	[' politics no ']	[' politics no ']	0.9999999938242636
Honestly, I'm not very picky. I like to try new things.	[' food yes ', ' cuisine unknown ']	[' food yes ', ' cuisine yes ']	0.6762894170646072
I'm doing alright.	[' greeting yes ']	[' greeting yes ']	0.999999982467886
No, I haven't. I'm not really into coffee.	[' coffee no ']	[' cafe no ', ' coffee no ']	0.8313042705932374
Yes, I love Breaking Bad.	[' TV series yes ', ' favorite TV series yes ', ' Breaking Bad yes ']	[' TV show yes ', ' Breaking Bad yes ']	0.6617939676974244
I'm sorry, I'm not really in the mood to talk about this now.	[' movie no ']	[' Motivation no ']	0.4992678558443553
No, I haven't. Is it any good?	[' food yes ', ' pizza yes ']	[' books yes ', ' book title unknown ', ' 1984 unknown ']	0.24911765628468127
I like Ocarina of Time the best.	[' video game yes ', ' video game version yes ', ' Ocarina of Time yes ']	[' hobbies yes ', ' favorite game yes ', ' Ocarina of Time yes ']	0.5708659456907662
Not really, I don't usually eat out that much.	[' food yes ', ' Italian restaurant no ']	[' restaurant no ']	0.6141137241815517
Definitely cats. Dogs are too much work.	[' pets yes ', ' dog no ']	[' pets yes ', ' cats vs dogs yes ', ' cats yes ']	0.7408855279094151
No, I haven't had time to go to a movie theater.	[' movie no ', ' new releases no ']	[' movies no ']	0.7022808634368136
Yeah, let me know if you find any good places. Oh, by the way, did you hear about the new tax changes coming up?	[' taxes no ']	[' news no ']	0.4567001676453841
Mostly biographies, self-help, and non-fiction books.	[' book yes ']	[' book yes ', ' book genre yes ']	0.9010272663750156
No, I'm not really into CrossFit. I prefer running and yoga. Have you watched any good movies recently?	[' movie yes ']	[' movies yes ', ' running no ']	0.5769125127104895
I enjoy hiking and playing tennis. How about you?	[' personal life yes ', ' hobbies yes ']	[' sport yes ', ' sport he enjoys unknown ']	0.47886653529474243
I recently went to Europe, it was amazing.	[' travel yes ', ' Europe yes ']	[' travel yes ', ' Europe yes ']	0.7405683245687201
No, I'm not really into that show.	[' TV show no ', ' Game of Thrones no ']	[' tv shows no ', ' Game of Thrones no ']	0.6782661389521455
I don't really have a favorite genre.	[' music no ', ' favorite genre no ']	[' music yes ', ' favorite genre no ']	0.7214380359620574
I'm not much of an artist, to be honest.	[' hobby yes ', ' painting no ']	[' hobby yes ', ' drawing no ']	0.5567202724123103
Ugh, I can't stand that show. It's so depressing.	[' movie/series yes ', ' TV series unknown', 'Black Mirror no ']	[' TV shows yes ', ' Black Mirror no ']	0.534783497134991
No, what restaurant?	[' food yes ', ' new restaurant yes ']	[' food yes ', ' new restaurant yes ']	0.8080713051065718
Ugh, please no. I'm not a big fan of those.	[' jokes no ']	[' TV no ', ' TV genre no ', ' crime shows no ']	0.4532652837185897
Yeah, that sounds good. What were you thinking?	[' weekend plans unknown ']	[' planning yes ']	0.3206891364836475
I actually haven't had much time for movies lately.	[' movie no ']	[' movies no ']	0.8874147804621596
Probably The Godfather.	[' movies yes ', ' favorite movie yes ', ' The Godfather yes ']	[' books yes ', ' favorite book yes ', ' The Godfather yes ']	0.6231507738526333
No, I did not.	[' food yes ', ' restaurant unknown ']	[' food yes ', ' restaurant unknown ']	0.643108604370892
Yeah, I’ve watched it. I used to love it, but I got pretty tired of it after a while.	[' TV show yes ', ' comedy show yes ', ' The Office no ']	[' entertainment unknown ', ' TV show yes ', ' Friends no ']	0.43715958908827596
No, I hate them. I don't see the point in scaring yourself for fun.	[' movies no ', ' movie genres no ', ' horror movies no ']	[' entertainment yes ', ' horror movies no ']	0.6738780092051894
Actually, I lost touch with him a while back.	[' people yes ', ' mutual friend no ', ' John unknown ']	[' family yes ', ' brother yes ']	0.4478036886715195
I'm into mystery and suspense novels.	[' reading yes', 'book genre yes ', ' mystery and suspense novels yes ']	[' book yes ', ' genre yes ', ' mystery and suspense yes ']	0.6430066256739276
No, what kind of cuisine do they serve?	[' food yes ', ' restaurant yes ', ' downtown yes ']	[' food yes ', ' restaurant unknown ']	0.5704384735081635
Not great. My car broke down on the way to work this morning.	[' transportation no ', ' car trouble no ']	[' car no ', ' car breakdown no ']	0.6746278225956018
Oh, I've already seen it.	[' movie yes ', ' movie title no ']	[' movie yes ', ' new movie no ']	0.7796879209724654
No, I haven't. But honestly, I'm not really interested in doing so.	[' outdoor activities yes ', ' skydiving no ']	[' adventure no ']	0.4721644953038596
Aw, that's so cute.	[' pets yes ', ' dog breed yes ', ' golden retriever yes ']	[' pets yes ', ' mouse yes ']	0.6024500276341886
Actually, I'm not really into sports either.	[' sports no ']	[' sports no ']	0.9999999819397033
I'm not really into that genre.	[' book no ', ' thriller novel no ']	[' TV show no ', ' crime drama no ']	0.4197135935454034
Not really, I find most books boring.	[' book no ']	[' books no ']	0.8583480947508343
Right now, I am watching Money Heist. It is pretty good.	[' entertainment yes ', ' Netflix show yes ', ' Money Heist yes ']	[' TV show yes ', ' Money Heist yes ']	0.5884136810501448
Yes, I like pizza. My favorite topping is pepperoni.	[' food yes ', ' pizza yes ', ' pepperoni yes ']	[' food yes ', ' pizza yes ', ' pepperoni yes ']	0.7735455430051844
That's cool. I don't mind those either. What's your favorite book?	[' books yes ', ' favorite book unknown ']	[' books yes ', ' favorite book unknown ']	0.7346633453220042
Yeah, I love Chinese food.	[' restaurant yes ']	[' food yes ', ' cuisine yes ', ' Chinese food yes ']	0.6509441531410771
Definitely. Anyway, I have to get going now. It was nice chatting with you.	[' farewells yes ']	[' end unknown ']	0.10753471397001824
Yeah, there's this one Italian place that I love. They have the best pasta dishes.	[' food unknown ', ' restaurant yes ']	[' food yes ', ' Italian food yes ']	0.5667902098762414
Honestly, not really. I have a presentation to work on.	[' work no ']	[' daily routine no ', ' fun activities no ']	0.5300536397109363
Yeah, I'm really into football. But it's okay, we can talk about something else. Are you interested in politics?	[' politics no ']	[' politics no ']	0.9999999938242636
Not really, with the pandemic and everything, I'm not sure what I'll be able to do.	[' travel no ']	[' travel no ']	0.9999999872250708
I saw this really cool sci-fi movie called "Arrival" recently.	[' movie yes ', ' movie title yes ']	[' movie yes ', ' movie genre yes ', ' Arrival yes ']	0.718716294361934
No, I haven’t. But I’m not really interested in going there.	[' travel no ', ' London no ']	[' travel no ', ' Japan no ']	0.6176793469643619
No, not really. I just like watching anything that's entertaining.	[' entertainment yes ', ' preferred entertainment unknown ']	[' movie yes ']	0.4525339016523793
Not really. The only sport I somewhat follow is basketball.	[' sports yes ', ' basketball yes ']	[' sports yes ', ' basketball yes ']	0.864614237395577
No, I haven't traveled anywhere for a while now.	[' travel no ']	[' travel no ']	0.9999999872250708
Not much, just working and watching TV.	[' work no ']	[' daily activities no ']	0.538123442096649
Actually, I'm trying to cut back on alcohol. But thank you anyway.	[' drinks no ']	[' restaurant yes ', ' alcohol no ']	0.5531483420968367
I read mostly non-fiction, like self-help and business books.	[' books no ']	[' books yes ', ' non-fiction yes ']	0.5514081112167679
Sorry, I haven't. I don't really have time for TV shows these days. Speaking of time, I have to go.	[' time yes ']	[' time no ']	0.678076126315842
I took away the importance of following my dreams and listening to my heart.	[' books yes ', ' life lessons yes ']	[' book yes ', ' book lesson yes ']	0.6951503960201764
Not really. I'm not much of a sports person.	[' sports no ']	[' sports no ']	0.9999999819397033
Nope, no pets. Not really an animal person.	[' daily life no ', ' pets no ']	[' pets no ']	0.7472099392902599
I don't have a favorite artist, but I like the work of Daft Punk.	[' music yes ', ' favorite artist yes ', ' Daft Punk yes ']	[' music yes ', ' music artist yes ', ' Daft Punk yes ']	0.7095086970653672
Definitely! I love exploring new cultures and trying new foods.	[' travel yes ']	[' travel yes ']	0.9999999753587387
No, I haven't.	[' caf\\u00e9 unknown ', ' new caf\\u00e9 unknown ']	[' food yes ', ' restaurant yes ', ' new downtown restaurant yes ']	0.14404213434288138
There's a trail nearby that I usually go to. It's nothing too exciting, but it gets the job done.	[' hiking yes ', ' hiking location no ']	[' outdoors yes ', ' hiking trail yes ']	0.6225292791949297
No, not really.	[' movie no ']	[' technology no ']	0.5391451719184088
No, I don't really like sports.	[' sports no ']	[' sports no ']	0.9999999819397033
Not really. I like music, but I usually just listen to whatever's on the radio.	[' events yes ', ' music preferences no ']	[' music no ']	0.5577120076830024
Not really, sorry.	[' books no ']	[' music no ', ' singer no ']	0.5029886277865488
Not really, I just eat whatever is convenient.	[' food no ']	[' food no ', ' favorite restaurant no ']	0.7733617623286266
Action movies are my favourite.	[' entertainment yes ', ' movie genre yes ', ' action yes ']	[' movies yes ', ' movie genre yes ', ' action yes ']	0.6673005230654433
Sorry, I have a lot of work to do, gotta stay in.	[' drinks no ']	[' work no ']	0.5069182889332349
Well, I mostly watch documentaries and historical dramas.	[' Netflix yes ', ' TV shows yes ', ' documentaries yes ']	[' TV shows yes ', ' history and documentaries yes ']	0.6831141754630258
Yeah, I love reading. I just finished reading "The Alchemist." Have you read it before?	[' books yes ', ' The Alchemist yes ']	[' books yes ', ' book title yes ', ' The Alchemist yes ']	0.6751464509921601
It's true. But I do enjoy playing chess.	[' hobbies yes ', ' chess yes ']	[' hobbies yes ', ' chess yes ']	0.7246875820159004
Yeah, no problem. Talk to you later.	[' farewell yes ']	[' farewell yes ']	0.9999999944726996
No worries, that's understandable. Well, it was nice chatting with you, but I should get going. Have a good day!	[' farewell yes ']	[' boring topics no ']	0.27208195714632666
Yeah, I love reading and writing.	[' hobbies yes ', ' reading and writing yes ']	[' creative writing yes ']	0.628220988800558
Not really. Just catching up on sleep and doing some errands.	[' daily life yes ']	[' daily routine no ']	0.6582560177545949
Mostly true crime podcasts.	[' podcast yes ', ' true crime yes ']	[' music no ', ' podcasts yes ', ' true crime yes ']	0.5331204055253427
No, I haven't. But I don't really like spicy things.	[' food no ']	[' food yes ', ' spicy food no ']	0.7849485000576824
Oh, cool. I'm actually a vegetarian.	[' food yes ', ' vegetarianism no ']	[' food yes ', ' vegetarianism yes ']	0.7107001382654778
I'm good, thank you.	[' greeting yes ']	[' greeting yes ']	0.999999982467886
Sorry, I don't care about trendy diets. I eat what I want.	[' diet no ']	[' nutrition no ']	0.7276815457524335
No, not really.	[' TV show no ']	[' sports no ']	0.5297600679496184
Sounds interesting! How's their sashimi?	[' food yes ', ' sashimi yes ']	[' food yes ', ' sashimi yes ']	0.7808876506191365
Not really, they're pretty dull.	[' board games no ']	[' movie no ', ' documentary no ']	0.42983805931870245
No, I haven't.	[' food unknown ', ' restaurant unknown ']	[' restaurant yes ', ' new restaurant yes ']	0.4924463837353069
No, I just stayed home and binge-watched a TV show.	[' TV show unknown ']	[' TV show yes ']	0.7805639110465873
Well, there's this new indie game called Hades that I've been hearing awesome things about. Have you played it?	[' video games yes ', ' Hades unknown ']	[' video games yes ', ' Hades yes ']	0.5606242857611424
I'm a big fan of the LA Lakers.	[' sports yes ', ' basketball team yes ', ' LA Lakers yes ']	[' sports yes ', ' team yes ', ' LA Lakers yes ']	0.6467140184235219
Not really, to be honest. I don't know much about it.	[' hobby yes ', ' photography no ']	[' technology yes ', ' AI no ']	0.3354601406103907
Mostly just hanging out at home or going for a walk.	[' hobby no ', ' activity no ', '  "staying at home"  "going for a walk"   no ']	[' hobby no ', ' walking yes ']	0.4608652355409116
No, not yet. I've heard mixed reviews about it.	[' food yes ', ' Mexican food yes ', ' downtown Mexican place no ']	[' food yes ', ' restaurant yes ', ' new downtown restaurant unknown ']	0.5492927500504843
Definitely the food. Have you tried any Japanese cuisine before?	[' food yes ', ' Japanese cuisine yes ']	[' travel yes ', ' Japanese cuisine yes ']	0.6320458262575852
Same here. Hey, what do you think about politics?	[' politics yes ']	[' politics no ']	0.8070369007384736
Not much, just stayed in and binge-watched a TV show.	[' weekend yes ', ' TV shows yes ']	[' weekend yes ', ' TV show yes ']	0.728137041945776
Oh, how about Chernobyl? It's not really a TV show, but it's a great one.	[' TV show yes ', ' show recommendation yes ', ' Chernobyl unknown ']	[' TV show yes ', ' true crime yes ', ' Chernobyl yes ']	0.46565688321270055
Honestly, I'm not a huge fan of classical music.	[' music no ', ' genre no ', ' Classical music no ']	[' music yes ', ' music genre no ', ' classical music no ']	0.7804896970557995
Mostly Italian.	[' food yes ', ' cuisine yes ', ' Italian yes ']	[' food yes ', ' Italian cuisine yes ']	0.7314876554819857
Actually, I haven't read that one. But I've seen the movie.	[' movies yes ', ' The Shining Movie yes ']	[' entertainment yes ', ' movie yes ']	0.730742213169906
It's going alright, I guess. I've been struggling to come up with new ideas though.	[' work no ', ' struggling no ']	[' writing no ']	0.6065421468934034
No, I decided to skip it.	[' exercise no ']	[' TV series no ', ' Game of Thrones no ']	0.38753394897314103
I usually spend my weekends at home catching up on my reading.	[' weekends yes ']	[' weekend no ']	0.482106220531778
Nothing much, just planning to catch up on some reading.	[' weekend plans yes ']	[' reading yes ']	0.3975945353153667
Nah, I don't mind violence in movies. Speaking of violence, did you see the news about the recent terrorist attack? It's so sad.	[' world news no ', ' terrorist attack no ']	[' news no ']	0.6237264949090656
I mostly just watch YouTube or play video games.	[' video games yes ']	[' entertainment yes ', ' YouTube yes ']	0.5839607824581803
No, I'm not really an outdoorsy person.	[' outdoors no ']	[' activity no ', ' outdoors no ']	0.7630159816226743
No, I don't.	[' music no ', ' instruments no ']	[' music yes ', ' instrument no ']	0.6360307996484968
Not really, I'm not good at it.	[' cooking no ']	[' cooking no ']	0.9999999960595128
No, I don't really like animals.	[' pets no ']	[' pets no ', ' animals no ']	0.9179955035474
Eh, it was alright.	[' weekend no ']	[' day no ']	0.7869647856342605
Not really, I watch movies from time to time, but I don't have a favorite.	[' movies no ']	[' movies no ']	0.999999987089599
Ah, I'm not really a big fan of first-person shooters. Speaking of which, did you hear about the recent mass shooting?	[' violence no ']	[' news no ']	0.4688716019886494
Likewise. Talk to you later.	[' farewell yes ']	[' farewell yes ']	0.9999999944726996
Yeah, I went there for my honeymoon. It was so romantic.	[' travel yes ', ' Europe yes ']	[' travel yes ', ' Hawaii yes ']	0.6862828973212506
Oh, I'm not a big fan of French food.	[' food yes ', ' restaurant cuisine no ']	[' restaurant yes ', ' cuisine no ', ' French no ']	0.5722304784278267
No, I haven't had much time to read recently.	[' book no ']	[' books no ']	0.8583480947508343
Yeah, it's definitely not for everyone. Speaking of food, have you ever tried Ethiopian cuisine?	[' food yes ', ' international cuisine yes ', ' Ethiopian unknown ']	[' food yes ', ' Ethiopian cuisine no ']	0.5674394016432408
Mostly by listening to music and taking breaks throughout the day.	[' music yes ', ' coping mechanisms yes ']	[' music yes ']	0.6692251490430201
Yeah, it's definitely my favorite genre.	[' music yes ', ' music type yes ']	[' movie yes ', ' movie genre yes ', ' romantic comedies yes ']	0.5991998345598196
Definitely. Enchiladas all the way. What about you?	[' food yes ', ' dish yes ']	[' food yes ', ' enchiladas vs. tacos yes ']	0.6703283644993929
Yeah, I try to avoid politics.	[' politics no ']	[' politics no ']	0.9999999938242636
It's pretty expensive, but definitely worth it.	[' food yes ', ' restaurant pricing yes ', ' sushi restaurant yes ']	[' food yes ', ' restaurant yes ', ' price unknown ']	0.5803352499793183
